playername,team,maps_played,kills,deaths,hs_pct,adr,kd_ratio,impact,rating
LOOOOKATMEEE,,7.0,15.71,24.17,,0.0,0.65,0.74,0.68
Hattivatti,,5.0,20.4,31.38,,0.0,0.65,0.74,0.68
n0page,,7.0,22.0,37.93,,0.0,0.58,0.74,0.63
fArt,,6.0,22.17,40.0,,0.0,0.55,0.74,0.61
zeking,,8.0,18.5,32.46,,0.0,0.57,0.74,0.62
vanilla,,7.0,20.29,28.99,,0.0,0.7,0.74,0.71
retchy,,8.0,21.75,34.52,,0.0,0.63,0.74,0.66
lunari,,10.0,17.6,27.94,,0.0,0.63,0.74,0.66
Damkilde,,7.0,19.43,28.57,,0.0,0.68,0.74,0.7
coolio,,5.0,21.6,36.0,,0.0,0.6,0.74,0.64
puigzin,,5.0,19.2,30.0,,0.0,0.64,0.74,0.67
tamir,,6.0,20.67,30.85,,0.0,0.67,0.74,0.69
spamzzy,,26.0,18.35,26.99,,0.0,0.68,0.73,0.7
mira,,5.0,19.2,28.66,,0.0,0.67,0.73,0.69
Norhis,,7.0,15.71,24.94,,0.0,0.63,0.73,0.66
jEROMEE,,8.0,19.12,29.88,,0.0,0.64,0.73,0.67
aloneintokyo,,15.0,23.07,32.96,,0.0,0.7,0.73,0.71
HAKAIII8,,5.0,20.6,29.01,,0.0,0.71,0.73,0.72
jackast,,5.0,19.0,27.94,,0.0,0.68,0.73,0.7
flush,,17.0,20.12,30.95,,0.0,0.65,0.72,0.67
miLo,,8.0,18.0,28.57,,0.0,0.63,0.72,0.66
GdA,,22.0,20.14,33.57,,0.0,0.6,0.72,0.64
otEB,,18.0,19.28,27.94,,0.0,0.69,0.72,0.7
Eleven,,11.0,17.73,29.07,,0.0,0.61,0.72,0.64
JSP,,5.0,20.4,32.9,,0.0,0.62,0.72,0.65
youngswag,,9.0,19.22,29.57,,0.0,0.65,0.71,0.67
ciordalesss,,8.0,18.5,34.91,,0.0,0.53,0.71,0.58
KAOS,,10.0,20.5,35.34,,0.0,0.58,0.71,0.62
gag,,5.0,20.8,37.14,,0.0,0.56,0.71,0.6
FearlessBeatle,,5.0,20.2,36.73,,0.0,0.55,0.71,0.6
amyb,,8.0,17.62,26.7,,0.0,0.66,0.71,0.68
PaPaDoxie,,7.0,18.86,30.42,,0.0,0.62,0.71,0.65
Valtr1x,,5.0,17.8,28.71,,0.0,0.62,0.7,0.64
TABEN,,11.0,20.36,32.32,,0.0,0.63,0.7,0.65
NICKHALDEN,,5.0,19.2,33.68,,0.0,0.57,0.7,0.61
